,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
700,,Specific ultraviolet absorbance at 254 nm. Determined by absorbance normalized to DOC concentration.,SUVA254,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/SUVA254/,SUVA254,995,Current
701,,A counter which counts the number of datalogger table overrun errors,Table overrun error count,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tableOverrunErrorCount/,tableOverrunErrorCount,996,Current
702,,"Count of unique taxa. A taxon (plural: taxa) is a group of one (or more) populations of organism(s), which is judged to be a unit.",Taxa count,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/taxaCount/,taxaCount,997,Current
703,,"Time domain reflextometry, apparent length divided by probe length. Square root of dielectric",TDR waveform relative length,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/TDRWaveformRelativeLength/,TDRWaveformRelativeLength,998,Current
704,,Temperature,Temperature,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/temperature/,temperature,999,Current
705,,temperature change,Temperature change,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/temperatureChange/,temperatureChange,1000,Current
706,,"Temperature, raw data from datalogger","Temperature, datalogger",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/temperatureDatalogger/,temperatureDatalogger,1001,Current
707,,Dew point temperature,"Temperature, dew point",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/temperatureDewPoint/,temperatureDewPoint,1002,Current
708,,initial temperature before heating,"Temperature, initial",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/temperatureInitial/,temperatureInitial,1003,Current
709,,"Temperature, raw data from sensor","Temperature, sensor",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/temperatureSensor/,temperatureSensor,1004,Current
710,,"Temperature, raw data from sensor","Temperature, transducer signal",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/temperatureTransducerSignal/,temperatureTransducerSignal,1005,Current
711,,Terbufos (C9H21O2PS3),Terbufos,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/terbufos/,terbufos,1006,Current
712,,Terpineol (C10H18O),Terpineol,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/terpineol/,terpineol,1007,Current
713,,Tert-Amyl Methyl Ether (C6H14O),Tert-Amyl Methyl Ether,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tertAmylMethylEther/,tertAmylMethylEther,1008,Current
714,,Tertiary Butyl Alcohol (C4H10O),Tertiary Butyl Alcohol,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tertiaryButylAlcohol/,tertiaryButylAlcohol,1009,Current
715,,"Tetracene (C18H12), a polycyclic aromatic hydrocarbon (PAH), also known as naphthacene or benz[b]anthracene",Tetracene,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tetracene/,tetracene,1010,Current
716,,Tetrachloroethene (C2Cl4),Tetrachloroethene,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tetrachloroethene/,tetrachloroethene,1011,Current
717,,Tetraethylene glycol (C8H18O5),Tetraethylene glycol,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tetraethyleneGlycol/,tetraethyleneGlycol,1012,Current
718,,Tetrahydrofuran (C4H8O),Tetrahydrofuran,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tetrahydrofuran/,tetrahydrofuran,1013,Current
719,,"Tetramethylnaphthalene (C10H4(CH3)4), a polycyclic aromatic hydrocarbon (PAH)",Tetramethylnaphthalene,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tetramethylnaphthalene/,tetramethylnaphthalene,1014,Current
720,,"Dissolved thallium (Tl). ""dissolved"" indicates measurement was made on a filtered sample.","Thallium, dissolved",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thalliumDissolved/,thalliumDissolved,1015,Current
721,,Ratio of concentrations of thallium in two phases in equilibrium with each other. Phases must be specified.,"Thallium, distribution coefficient",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thalliumDistributionCoefficient/,thalliumDistributionCoefficient,1016,Current
722,,Particulate thallium (Tl) in suspension,"Thallium, particulate",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thalliumParticulate/,thalliumParticulate,1017,Current
723,,"Total thallium (Tl). ""Total"" indicates was measured on a whole water (unfiltered) sample.","Thallium, total",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thalliumTotal/,thalliumTotal,1018,Current
724,,Thorium (Th),Thorium,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thorium/,thorium,1019,Current
725,,"Dissolved thorium. For chemical terms, dissolved indicates a filtered sample.","Thorium, dissolved",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thoriumDissolved/,thoriumDissolved,1020,Current
726,,An isotope of thorium in the thorium-232 decay series,Thorium-228,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thorium_228/,thorium_228,1021,Current
727,,An isotope of thorium in the thorium-232 decay series,Thorium-230,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thorium_230/,thorium_230,1022,Current
728,,A radioactive isotope of thorium which undergoes alpha decay,Thorium-232,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/thorium_232/,thorium_232,1023,Current
729,,A level above or below which an action is performed.,Threshold,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/threshold/,threshold,1024,Current
730,,"The THSW Index uses temperature, humidity, solar radiation, and wind speed to calculate an apparent temperature.",THSW Index,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/THSWIndex/,THSWIndex,1025,Current
731,,"The THW Index uses temperature, humidity, and wind speed to calculate an apparent temperature.",THW Index,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/THWIndex/,THWIndex,1026,Current
