,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
64,,Expressed as butanone,C4H8O,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C4H8O/,C4H8O,101,Current
65,,Expressed as hexachlorocyclopentadiene,C5Cl6,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C5Cl6/,C5Cl6,102,Current
66,,Expressed as hexachlorobenzene,C6Cl6,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6Cl6/,C6Cl6,103,Current
67,,Expressed as trichlorobenzene,C6H3Cl3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H3Cl3/,C6H3Cl3,104,Current
68,,Expressed as xylenes,C6H4(CH3)2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H4_CH3_2/,C6H4_CH3_2,107,Current
69,,Expressed as dichlorobenzene,C6H4Cl2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H4Cl2/,C6H4Cl2,105,Current
70,,Expressed as dinitrophenol,C6H4N2O5,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H4N2O5/,C6H4N2O5,106,Current
71,,Expressed as chlorobenzene,C6H5Cl,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H5Cl/,C6H5Cl,108,Current
72,,Expressed as aniline,C6H5NH2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H5NH2/,C6H5NH2,109,Current
73,,Expressed as nitrobenzene,C6H5NO2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H5NO2/,C6H5NO2,110,Current
74,,Expressed as phenol,C6H5OH,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H5OH/,C6H5OH,111,Current
75,,Expressed as benzene,C6H6,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6H6/,C6H6,112,Current
76,,Expressed as pentachlorophenol,C6HCl5O,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C6HCl5O/,C6HCl5O,113,Current
77,,Expressed as dinitrotoluene,C7H6N2O4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C7H6N2O4/,C7H6N2O4,114,Current
78,,Expressed as Toluene,C7H8,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C7H8/,C7H8,115,Current
79,,Expressed as ethylbenzene,C8H10,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C8H10/,C8H10,116,Current
80,,Expressed as styrene,C8H8,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C8H8/,C8H8,117,Current
81,,Expressed as isophorone,C9H14O,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/C9H14O/,C9H14O,118,Current
82,,Expressed as calcium,Ca,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Ca/,Ca,119,Current
83,,Expressed as calcium carbonate,CaCO3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CaCO3/,CaCO3,120,Current
84,,Expressed as cadmium,Cd,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Cd/,Cd,121,Current
85,,Expressed as dichloromethane,CH2Cl2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CH2Cl2/,CH2Cl2,122,Current
86,,Expressed as bromomethane,CH3Br,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CH3Br/,CH3Br,123,Current
87,,Expressed as chloromethane,CH3Cl,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CH3Cl/,CH3Cl,124,Current
88,,Expressed at methylmercury,CH3Hg,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CH3Hg/,CH3Hg,125,Current
89,,Expressed as methane,CH4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CH4/,CH4,126,Current
90,,Expressed as dibromochloromethane,CHBr2Cl,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CHBr2Cl/,CHBr2Cl,127,Current
91,,Expressed as bromoform,CHBr3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CHBr3/,CHBr3,128,Current
92,,Expressed as bromodichloromethane,CHBrCl2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CHBrCl2/,CHBrCl2,129,Current
93,,Expressed as chloroform,CHCl3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CHCl3/,CHCl3,130,Current
94,,Expressed as chlorine,Cl,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Cl/,Cl,131,Current
95,,Expressed as cyanide,CN-,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CN-/,CN-,132,Current
96,,Expressed as cobalt,Co,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Co/,Co,133,Current
97,,Expressed as carbon dioxide,CO2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CO2/,CO2,134,Current
98,,Expressed as carbonate,CO3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/CO3/,CO3,135,Current
